bin_index,delta_chi2_center,n_total,abs_u0_q16,abs_u0_median,abs_u0_q84,tE_q16,tE_median,tE_q84,rho_q16,rho_median,rho_q84,piE_q16,piE_median,piE_q84,sigma_u0_q16,sigma_u0_median,sigma_u0_q84,rel_sigma_tE_q16,rel_sigma_tE_median,rel_sigma_tE_q84,rel_sigma_rho_q16,rel_sigma_rho_median,rel_sigma_rho_q84,rel_sigma_piE_parallel_q16,rel_sigma_piE_parallel_median,rel_sigma_piE_parallel_q84
22,462.52239664535387,13917,0.14850996423907364,0.4518904577435505,0.8349538833302846,56.14085980769749,118.18050237776116,255.9231443466001,1.0466439731329979e-07,0.019210462276050257,0.19642021773219123,0.23354134703619758,0.49111015730035157,1.0001121318225292,0.0398998751010172,0.1533800520580736,0.5346302385587219,0.07749766009493872,0.21843841952878928,0.6628784459225463,7.107308576117602,108.08153638639867,87674902.30803218,0.07603884941467794,0.16180698697369195,0.409121963014854
23,686.0797762438273,13146,0.15112869443048138,0.4599346275311651,0.8268016166951179,60.034035586458785,124.39451673693239,260.46564824239715,1.0367114301293883e-07,0.01611812704826538,0.17547494092753438,0.24078045467310344,0.488511531284764,0.9737558186640337,0.03587965767218163,0.13281110741780408,0.42946277461176285,0.07117126313909182,0.186786397374898,0.5135457490441033,7.395274300109422,122.80421924463249,89307920.66676661,0.06666819548967269,0.13993368052485972,0.3409790773907906
24,1017.4591345312272,12173,0.1423681493899318,0.44299397053041306,0.8052108465430291,62.6167506366217,128.69631108840986,268.732689403331,1.0601137356689284e-07,0.015007750991683439,0.1631902591177994,0.23989636861116104,0.4851336727793216,0.990676667505424,0.030108262980714715,0.10637619778711016,0.33328625514965693,0.06108192795990307,0.1535644921517365,0.4200139257858995,7.153507662693768,116.58318824518354,78292837.1979576,0.05615492691160623,0.11736317078895554,0.28833489618513425
25,1508.6631345790045,11481,0.14143804614246785,0.44281844753793437,0.8098949344498761,63.94383339701773,130.95151176761215,265.7686622109284,1.0306805483213511e-07,0.012544511643509374,0.14309137490486418,0.24644583106690962,0.49694838829900356,1.032260690216235,0.025827421691086896,0.08886494273398536,0.27720769117906957,0.05389948854188652,0.12932076349986626,0.3341444590133401,8.073136315559768,123.19285636681329,77683076.92680804,0.047628975437119636,0.0997548020338149,0.2374769147200006
26,2236.775383060324,10098,0.13738307062649938,0.43161088444920315,0.7969486254132856,67.39696221365594,136.2875603680033,277.2745057578036,1.0598787656244291e-07,0.010528286115500395,0.12585540760274286,0.2531654149705951,0.5050595976977883,1.0527315405872772,0.021525416348015983,0.0714239221332806,0.22085516964010074,0.04763812326675545,0.10831625571964207,0.2831864357369611,8.3299005900958,139.96961231617723,72917944.86824769,0.04162324952233291,0.08592943953797255,0.2043485974957419
27,3316.0569979025463,8994,0.12258805155367279,0.4114369825363525,0.7696436726399669,70.95861828063671,140.81801375079158,279.0018703247139,1.0921432053860141e-07,0.00888087630651276,0.10690668650198334,0.25625566146915996,0.5058857792562799,1.04665231868945,0.017749450048134992,0.057164818140565066,0.1668524087714274,0.04113362268330327,0.0890387573446401,0.21867053218868704,8.730713886749331,144.27994772482134,66864765.72215814,0.03559427603175125,0.07256076487000948,0.1654054070042499
28,4915.877364289809,7740,0.12272034641365057,0.4156817293594447,0.7732053080482363,73.00875615102575,144.34598587961955,279.2750731218683,1.1541849358716419e-07,0.008396079136599417,0.09746252433038426,0.26900283969772865,0.5194356084969063,1.0760957724987983,0.014761900600620673,0.047769875127169195,0.13958831915163908,0.035690345648024424,0.07581253800929325,0.18359135368764784,8.508489306431017,138.58996740405303,58760556.81356949,0.03187619950170262,0.062454141289504134,0.1401012613504891
29,7287.29291469889,6867,0.11216445497422306,0.3805226451998269,0.7420396114694077,74.91312444046899,146.61758171583833,281.0685155323015,1.6087231812694075e-07,0.006811663284414233,0.07908052356883824,0.2700771816795456,0.522021566613009,1.0744136089496625,0.011445593117904608,0.03490279939848996,0.10297309311995394,0.02964365006813743,0.0611545640576665,0.13973767532917294,8.642678397638091,153.32624765048584,44560914.70080759,0.026273111881926988,0.05109954414951729,0.11066012199366206
30,10802.44488480495,5620,0.10343790979637574,0.35814426969413665,0.7101616029304014,76.10020594485327,150.89523602315847,283.67461601608926,2.241345888154655e-07,0.00512051544311893,0.06061696826212095,0.2658503694560147,0.5285140165151827,1.1116445957790164,0.009485194538531546,0.02747957949512183,0.07838414580630153,0.025156921614768187,0.050182154145784745,0.10892996692143872,10.9317501488488,172.1949140904458,32352175.743379213,0.02270266835848933,0.04347215310704586,0.08921488048614074
31,16012.958651912983,4502,0.08847125821822074,0.32772493349083115,0.6818230648725014,77.12312947370427,149.40522207596317,290.48650253367805,4.068198379478539e-07,0.004426955529969695,0.05437294388341694,0.2716276942102081,0.5262094612650545,1.0844914784168418,0.007236556145201712,0.020918436289198754,0.05629439831934876,0.021626066243892676,0.03982813211399004,0.08548381750260249,9.503033009105588,164.51348171479583,16446234.13680162,0.01956481385781402,0.03545426218833743,0.07143112860878617
32,23736.509140799273,3421,0.09198256938643555,0.3203954908141974,0.6622516859192337,79.1575182625548,151.05146559804948,283.3497957544099,4.735205709244935e-07,0.0031037589580740488,0.043089552467084645,0.277459579502806,0.5455917950487751,1.123353634280261,0.006124740582107994,0.01625958334746581,0.044853333529605,0.01812729791075404,0.03332286657724166,0.06952111124044158,10.879118267247332,185.964629508166,14521450.575724645,0.01682120684950234,0.030438692846766337,0.06051928906425842
33,35185.13682334052,2721,0.07793040067497671,0.28740719610636983,0.6123130623164125,78.08782128243509,149.9828804416539,279.1295472178948,1.0718568261471137e-06,0.002219073573454207,0.033872558017872076,0.2808668128604657,0.5480493455561573,1.143243211740712,0.004980178297969201,0.01265349113317872,0.03357906780446588,0.015887330674613183,0.02736605503323624,0.055729373130224906,11.107321516820903,231.73274702610237,5832719.895540661,0.01500420076696847,0.02567880875865596,0.05150411509651998
34,52155.45067084543,1976,0.074937876257078,0.26858477089191585,0.604434494215223,78.70796804467184,153.33478160532374,281.66156996089114,2.547973037307579e-06,0.0023151293157708027,0.03261618538022217,0.27751112702107295,0.5238040972128024,1.0999801457516116,0.003628992920670135,0.009995405894234321,0.028203267449538747,0.013404113365742994,0.023185500814410034,0.04443121008517222,8.15387343910815,217.72459368510522,2063754.4843889961,0.01298104301897385,0.022081740166380856,0.04183489480518882
35,77310.56620683194,1431,0.06151444436817018,0.2311530266831321,0.5423467735263188,76.6776218840926,149.63807867581812,276.8054442777708,8.070028387486739e-06,0.001867911200050535,0.02639071828189113,0.28284755721795046,0.549631650936385,1.120467956204593,0.0028304705728869894,0.007650517519521478,0.02146528372961851,0.01162538392254591,0.01949170499351972,0.036243073987413325,7.64011421544253,202.89737180840504,502810.90945611807,0.011615375348380783,0.019166606481924114,0.03581926477655397
36,114598.02260363058,952,0.05306504738387485,0.23545113308279506,0.5629869569080734,76.2603669008396,143.911362024733,275.5618114805924,8.435962163031311e-06,0.0013702376295232166,0.02116472754731133,0.28656472314445064,0.5568878119274496,1.156168431008395,0.002322946728615014,0.006337046628155546,0.01617063317604279,0.01047531300810048,0.015987278355495585,0.028588547844571516,6.1348645582574575,225.27408768556097,265369.44749735674,0.010140495027865012,0.015739535112488195,0.028756826932233616
37,169869.2616704574,607,0.05392102068595983,0.2333444449944613,0.5794056241848885,75.99002704818616,145.74001110786062,283.69635676682515,6.72297961134875e-06,0.0013805228065850812,0.019920552074266934,0.25558989215530786,0.48812340995337883,1.0527280043357623,0.0019807313282826245,0.00505688820932838,0.01249158936716367,0.008873781102734653,0.013526500162746913,0.02615929290146659,4.386541139137221,185.21813742635254,274452.8864802698,0.008823776629667834,0.013676093810378966,0.02544078287476111
38,251797.882262679,389,0.04603909517938809,0.2725595909746375,0.6512632396001601,76.09198202207827,149.81311054684764,275.9481970355866,1.029661638352405e-05,0.001339976073581009,0.018364684770533147,0.2748634585992379,0.48380153499581446,0.910686545180862,0.0016091223319447084,0.0043709895185227695,0.011383061846718029,0.007818645335705789,0.011639736506628867,0.021251481496064505,2.8181166882543613,162.01733826681976,114537.26644582722,0.0078028267924427535,0.011839470062362726,0.021286892690986207
39,373240.76983805175,209,0.07478590311184773,0.32088048770187655,0.762552615732879,83.51940072348212,143.8199022914358,260.7002826468618,1.154187112715615e-05,0.0012877781817930327,0.017529573247624136,0.24665805536325097,0.43395423719183174,0.8673500929946762,0.001475449689766314,0.004467703174960567,0.012725753551009111,0.00707139888060659,0.010865767712126039,0.023292890241787424,1.7182121467485132,145.3174602847933,134107.31647923077,0.007259111217483387,0.010888853425377251,0.02283256873216577
40,553255.7003475098,115,0.08105374106438988,0.31332466568859557,0.7642403072726885,88.28981126967747,135.86254864134847,230.34341209889658,2.4552093349512868e-05,0.001074977310035076,0.015842145255707183,0.27765635470091987,0.4430800824484721,0.7809903739913757,0.0013086416745520194,0.003275565316693529,0.011390029316734331,0.006275645713673759,0.01026455399602522,0.021222860027624472,2.419469035672888,127.34507897025833,66920.96009276617,0.006205625927797752,0.010210582722421665,0.021414256009948007
41,820092.036779423,77,0.04673951139845417,0.34762490516448535,0.7901667793999573,94.57819868214476,161.41110815319945,264.4439896661267,1.4329916401365477e-06,0.0006469368911434348,0.01499541659835723,0.26816394774642155,0.41802673249147626,0.7110793239522886,0.0007105131099787681,0.003914937311462768,0.010189551838409779,0.006060787089494561,0.009788169031767373,0.01856824235015449,1.6668729210147375,1114.3696856607528,337220.6219536059,0.006057996058773697,0.009846032655381894,0.01867775568111987
42,1215623.8420519007,45,0.10074674228833602,0.43771049904952947,0.8592565165157513,120.53845277646674,202.58297020298593,294.60593066760345,5.2371088917325106e-05,0.0007498401994419729,0.008990202357919608,0.23078022168361817,0.2991283151254727,0.5721420793153217,0.0008265078325068529,0.005079925360225824,0.010358782303410986,0.0058241823516761585,0.011525430105562886,0.021749973877897642,4.994278294306303,93.66858286573637,9631.225451032078,0.005849829511784572,0.011526621261985342,0.022168855450145995
43,1801921.0872999206,15,0.11602106281795399,0.3946846471478312,0.8068500033715615,125.26619354759028,215.07122489610842,312.44567650370664,0.00016438669375168352,0.002364375312903928,0.006927050743250898,0.20573183477635906,0.3259091347776189,0.5031361784656734,0.000990941769289106,0.003526848668436088,0.006660411475001939,0.005380898234596456,0.0074615929638335325,0.023895285283973944,1.1312770543988238,7.565374619787189,914.6002555040768,0.005383073432791139,0.007494202620829469,0.023887820458795308
44,2670990.1614003386,7,0.08855914428420532,0.6833331293780044,0.8956868578875187,224.3241293591076,297.81777648315534,322.04087057887307,5.434243841958153e-07,0.0006842,0.007607593664082485,0.191035283383284,0.2436641975705891,0.3448766882568232,0.0023046041151628745,0.004859826494747228,0.006922659535366803,0.005527796358666513,0.00890186545531584,0.016634430045310393,1.5505560016244557,44.24827134218388,259227.43121501163,0.005447225898987158,0.00905708715677419,0.016616753447422222
