tE_bin,piE_bin,tE_left_days,tE_right_days,tE_center_days,piE_left,piE_right,piE_center,n_positive,n_detected,n_confused,detection_fraction,shown_in_heatmap
8,17,26.340256922266605,35.35533905932737,30.516695666413995,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
9,0,35.35533905932737,47.455877278984254,40.9611844501147,0.01,0.015254239308390182,0.012350805361752804,5,0,5,0.0,False
9,1,35.35533905932737,47.455877278984254,40.9611844501147,0.015254239308390182,0.02326918168776363,0.01884021406395259,5,0,5,0.0,False
9,2,35.35533905932737,47.455877278984254,40.9611844501147,0.02326918168776363,0.035495366597555714,0.028739313395283128,17,0,17,0.0,False
9,3,35.35533905932737,47.455877278984254,40.9611844501147,0.035495366597555714,0.05414548164181543,0.043839636409047256,75,0,75,0.0,True
9,4,35.35533905932737,47.455877278984254,40.9611844501147,0.05414548164181543,0.08259481344323,0.0668740304976422,222,5,217,0.02252252252252252,True
9,5,35.35533905932737,47.455877278984254,40.9611844501147,0.08259481344323,0.12599210498948735,0.10201124647276179,617,39,578,0.06320907617504051,True
9,6,35.35533905932737,47.455877278984254,40.9611844501147,0.12599210498948735,0.19219137204774617,0.1556103965842683,1438,178,1260,0.12378303198887343,True
9,7,35.35533905932737,47.455877278984254,40.9611844501147,0.19219137204774617,0.29317331822241716,0.23737182283699315,3074,632,2442,0.20559531554977228,True
9,8,35.35533905932737,47.455877278984254,40.9611844501147,0.29317331822241716,0.447213595499958,0.3620926590624291,5323,1754,3569,0.3295134322750329,True
9,9,35.35533905932737,47.455877278984254,40.9611844501147,0.447213595499958,0.6821903207721969,0.5523448073149632,7511,3803,3708,0.506324058048196,True
9,10,35.35533905932737,47.455877278984254,40.9611844501147,0.6821903207721969,1.040629440692656,0.8425599871529117,7207,4884,2323,0.6776744831413903,True
9,11,35.35533905932737,47.455877278984254,40.9611844501147,1.040629440692656,1.5874010519682002,1.2852611675704677,4648,3722,926,0.8007745266781411,True
9,12,35.35533905932737,47.455877278984254,40.9611844501147,1.5874010519682002,2.4214595525113247,1.960568142390089,1870,1618,252,0.8652406417112299,True
9,13,35.35533905932737,47.455877278984254,40.9611844501147,2.4214595525113247,3.6937523489595185,2.990697562442443,474,410,64,0.8649789029535865,True
9,14,35.35533905932737,47.455877278984254,40.9611844501147,3.6937523489595185,5.6345382276956855,4.5620816316516235,104,94,10,0.9038461538461539,True
9,15,35.35533905932737,47.455877278984254,40.9611844501147,5.6345382276956855,8.595059451754269,6.959108495362503,17,13,4,0.7647058823529411,False
9,16,35.35533905932737,47.455877278984254,40.9611844501147,8.595059451754269,13.111109374690052,10.615590636131074,2,2,0,1.0,False
9,17,35.35533905932737,47.455877278984254,40.9611844501147,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
10,0,47.455877278984254,63.69788406042391,54.980350752813905,0.01,0.015254239308390182,0.012350805361752804,1,0,1,0.0,False
10,1,47.455877278984254,63.69788406042391,54.980350752813905,0.015254239308390182,0.02326918168776363,0.01884021406395259,8,0,8,0.0,False
10,2,47.455877278984254,63.69788406042391,54.980350752813905,0.02326918168776363,0.035495366597555714,0.028739313395283128,15,0,15,0.0,False
