bin_index,class,component,piE_true_left,piE_true_right,piE_true_center,n,relative_sigma_q16,relative_sigma_median,relative_sigma_q84,shown_in_figure
13,parallax_detected,piEE,0.8925008405541612,1.2608268587175546,1.060796413643391,25291,0.04310860420395574,0.18764503174271713,1.0487073320453728,True
14,confused_fspl_no_parallax,piEN,1.2608268587175546,1.781157277876093,1.4985763028776429,5036,0.36183664618684896,1.7271027686699876,26.296811284585292,True
14,confused_fspl_no_parallax,piEE,1.2608268587175546,1.781157277876093,1.4985763028776429,5036,0.5061595978410796,2.317674712437829,29.51007705095944,True
14,parallax_detected,piEN,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,0.034630111253559394,0.14297113297340147,0.914483104440136,True
14,parallax_detected,piEE,1.2608268587175546,1.781157277876093,1.4985763028776429,13607,0.04308980048369255,0.18628393232306675,1.145699739041829,True
15,confused_fspl_no_parallax,piEN,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,0.3228677185046314,1.7999982698408084,32.426089375812275,True
15,confused_fspl_no_parallax,piEE,1.781157277876093,2.5162227680951306,2.1170234991964945,2355,0.4547501851954884,2.375898998534676,36.92626217157278,True
15,parallax_detected,piEN,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,0.03453907039103461,0.1393065804432252,1.0009534817262071,True
15,parallax_detected,piEE,1.781157277876093,2.5162227680951306,2.1170234991964945,5694,0.04220615567952176,0.18444310188984947,1.2620335646382876,True
16,confused_fspl_no_parallax,piEN,2.5162227680951306,3.5546423088645214,2.99069756244244,806,0.2950472663439751,1.6402026345772707,38.544031868810194,True
16,confused_fspl_no_parallax,piEE,2.5162227680951306,3.5546423088645214,2.99069756244244,806,0.4949747694568768,2.265268110483201,39.07064406536049,True
16,parallax_detected,piEN,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,0.033804875271534626,0.12991513803515972,0.8536257153796954,True
16,parallax_detected,piEE,2.5162227680951306,3.5546423088645214,2.99069756244244,1989,0.04272139363784773,0.1765598067708252,1.2207482063862996,True
17,confused_fspl_no_parallax,piEN,3.5546423088645214,5.021607031055999,4.224928024367186,239,0.3236182065390642,1.1598730183519397,47.880562666655514,True
17,confused_fspl_no_parallax,piEE,3.5546423088645214,5.021607031055999,4.224928024367186,239,0.4939391178862894,2.0240130129317664,56.999584601437164,True
17,parallax_detected,piEN,3.5546423088645214,5.021607031055999,4.224928024367186,612,0.037540310108477595,0.13722834262140504,1.7124959281440808,True
17,parallax_detected,piEE,3.5546423088645214,5.021607031055999,4.224928024367186,612,0.047782812967979676,0.19632862508171456,1.479553387790353,True
18,confused_fspl_no_parallax,piEN,5.021607031055999,7.09397317177776,5.968512843039028,75,0.25169861056237885,0.9957726444858209,34.20678923816732,True
18,confused_fspl_no_parallax,piEE,5.021607031055999,7.09397317177776,5.968512843039028,75,0.2746817741545476,1.2236678238982774,31.136393440914773,True
18,parallax_detected,piEN,5.021607031055999,7.09397317177776,5.968512843039028,159,0.046088392179106694,0.17373558144427792,1.8038311938981,True
18,parallax_detected,piEE,5.021607031055999,7.09397317177776,5.968512843039028,159,0.050242934698380766,0.19831769411948288,2.052155867647459,True
19,confused_fspl_no_parallax,piEN,7.09397317177776,10.021583738168333,8.431657380212412,16,0.27090808693395635,2.853937343345054,19.580167352832532,False
19,confused_fspl_no_parallax,piEE,7.09397317177776,10.021583738168333,8.431657380212412,16,0.3222731322702773,1.9416602169431285,18.74752040748145,False
19,parallax_detected,piEN,7.09397317177776,10.021583738168333,8.431657380212412,33,0.06301828397908484,0.1785906463586495,1.1762301522654188,True
19,parallax_detected,piEE,7.09397317177776,10.021583738168333,8.431657380212412,33,0.07603310832796334,0.2940050575878478,1.4491928394192346,True
20,confused_fspl_no_parallax,piEN,10.021583738168333,14.157389404949152,11.911316612178315,3,0.24982086551522342,0.5016719358996818,0.5367517985285504,False
20,confused_fspl_no_parallax,piEE,10.021583738168333,14.157389404949152,11.911316612178315,3,0.5953410680880956,1.665006381415059,1.749729478143081,False
20,parallax_detected,piEN,10.021583738168333,14.157389404949152,11.911316612178315,2,1.6966376584582035,5.280996008730013,8.865354359001824,False
20,parallax_detected,piEE,10.021583738168333,14.157389404949152,11.911316612178315,2,6.656378005747459,20.714579966179727,34.772781926612,False
21,confused_fspl_no_parallax,piEN,14.157389404949152,20.0,16.826995813245542,0,,,,False
21,confused_fspl_no_parallax,piEE,14.157389404949152,20.0,16.826995813245542,0,,,,False
21,parallax_detected,piEN,14.157389404949152,20.0,16.826995813245542,1,5.656511146670291,5.656511146670291,5.656511146670291,False
21,parallax_detected,piEE,14.157389404949152,20.0,16.826995813245542,1,1.8996731371692344,1.8996731371692344,1.8996731371692344,False
