bin_index,delta_chi2_center,parameter_1,parameter_2,n_total,n_positive_definite,abs_corr_q16,abs_corr_median,abs_corr_q84
22,462.52239664535387,u0,rho,13917,13900,0.21898923963848285,0.6205903160000839,0.9319079692142678
22,462.52239664535387,u0,piEN,13917,13900,0.25776184536062097,0.7274999407901585,0.9620554048653691
22,462.52239664535387,u0,piEE,13917,13900,0.25954889853818963,0.7230520133330641,0.9638668991561367
22,462.52239664535387,tE,rho,13917,13900,0.14384901842593992,0.4692003067400299,0.8143917413317692
22,462.52239664535387,tE,piEN,13917,13900,0.34946905432873693,0.8118963228742249,0.9719815874665008
22,462.52239664535387,tE,piEE,13917,13900,0.3710358254361528,0.8299011889467572,0.9770169836314396
22,462.52239664535387,rho,piEN,13917,13900,0.1425470068025214,0.46334965295378394,0.8023244411402626
22,462.52239664535387,rho,piEE,13917,13900,0.14768759843775545,0.48002669162650385,0.8052321268118396
22,462.52239664535387,piEN,piEE,13917,13900,0.2781484554262119,0.7269810781178614,0.9544322807106624
23,686.0797762438273,t0,u0,13146,13124,0.14609007842849978,0.4586091015053592,0.7995250297871912
23,686.0797762438273,t0,tE,13146,13124,0.14680087310237738,0.46488981391817563,0.8020196429441621
23,686.0797762438273,t0,rho,13146,13124,0.08201004757679678,0.2844804383401382,0.6357561723545743
23,686.0797762438273,t0,piEN,13146,13124,0.14549040875626248,0.46660939861416373,0.8326268580967717
23,686.0797762438273,t0,piEE,13146,13124,0.14767644264945998,0.46401720026189625,0.8268384166007258
23,686.0797762438273,u0,tE,13146,13124,0.42889282584524474,0.8893322164826636,0.9924556791425321
23,686.0797762438273,u0,rho,13146,13124,0.21735160938924872,0.6152044352970635,0.9257046403989339
